study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB52707	SAMEA115958708	ERX12973109	ERR13602116	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/016/ERR13602116/ERR13602116.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602116/OVB002.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602116/OVB002.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958725	ERX12973126	ERR13602133	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/033/ERR13602133/ERR13602133.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602133/487.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602133/487.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958709	ERX12973110	ERR13602117	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/017/ERR13602117/ERR13602117.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602117/OVB003.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602117/OVB003.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958727	ERX12973128	ERR13602135	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/035/ERR13602135/ERR13602135.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602135/489.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602135/489.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958713	ERX12973114	ERR13602121	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/021/ERR13602121/ERR13602121.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602121/474.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602121/474.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958728	ERX12973129	ERR13602136	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/036/ERR13602136/ERR13602136.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602136/490.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602136/490.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958714	ERX12973115	ERR13602122	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/022/ERR13602122/ERR13602122.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602122/475.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602122/475.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958717	ERX12973118	ERR13602125	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/025/ERR13602125/ERR13602125.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602125/479.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602125/479.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958720	ERX12973121	ERR13602128	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/028/ERR13602128/ERR13602128.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602128/482.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602128/482.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958723	ERX12973124	ERR13602131	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/031/ERR13602131/ERR13602131.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602131/485.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602131/485.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958729	ERX12973130	ERR13602137	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/037/ERR13602137/ERR13602137.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602137/491.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602137/491.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
